id,CHN202204070
version,2
info,visteam,MIL
info,hometeam,CHN
info,site,CHI11
info,date,2022/04/07
info,number,0
info,starttime,1:20PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,barrt901
info,ump1b,barkl901
info,ump2b,lentn901
info,ump3b,cejan901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:00
info,howscored,unknown
info,pitches,pitches
info,oscorer,speaa701
info,temp,44
info,winddir,tocf
info,windspeed,14
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,198
info,attendance,35112
info,wp,givem001
info,lp,ashba003
info,save,robed002
start,wongk001,"Kolten Wong",0,1,4
start,adamw002,"Willy Adames",0,2,6
start,yelic001,"Christian Yelich",0,3,7
start,mccua001,"Andrew McCutchen",0,4,10
start,tellr001,"Rowdy Tellez",0,5,3
start,renfh001,"Hunter Renfroe",0,6,9
start,narvo001,"Omar Narvaez",0,7,2
start,cainl001,"Lorenzo Cain",0,8,8
start,petej002,"Jace Peterson",0,9,5
start,burnc002,"Corbin Burnes",0,0,1
start,orter001,"Rafael Ortega",1,1,10
start,madrn001,"Nick Madrigal",1,2,4
start,contw001,"Willson Contreras",1,3,2
start,happi001,"Ian Happ",1,4,7
start,schwf001,"Frank Schwindel",1,5,3
start,suzus001,"Seiya Suzuki",1,6,9
start,heywj001,"Jason Heyward",1,7,8
start,wisdp001,"Patrick Wisdom",1,8,5
start,hoern001,"Nico Hoerner",1,9,6
start,hendk001,"Kyle Hendricks",1,0,1
play,3,1,rivaa001,22,BCSFB*S,K.BX1(23)
play,3,1,suzus001,32,BCFBFFBT,K
play,3,1,happi001,12,BTCS,K
play,4,0,abrej003,10,BX,63/G6+
play,4,0,robel002,00,X,D7/F7LD
play,4,0,grany001,21,BBCX,S9/L89.2-3
play,4,0,polla001,12,SFBFS,K
play,4,0,sheeg001,12,CSBX,S7/G6.3-H;1-2
play,4,0,garcl004,10,BX,63/G6M
play,4,1,contw001,12,CBSS,K
play,4,1,schwf001,12,BCTX,13/L1
play,4,1,hoern001,32,CSBBBX,7/F78D
play,5,0,harrj002,01,FX,53/G5
play,5,0,andet001,10,BX,53/G56S
play,5,0,engea001,11,BCX,63/G6
play,5,1,heywj001,02,CFFS,K
play,5,1,wisdp001,02,FFF*S,K.BX1(23)
play,5,1,madrn001,01,CX,S8/F89S.BX2(86)
play,6,0,abrej003,21,CBBX,S68/G6+
play,6,0,robel002,32,FFBBF*B*B,W.1-2
play,6,0,grany001,12,BCFX,46(1)3/GDP/G4+.2-3
play,6,0,polla001,21,C*BBX,S9/F89S.3-H
play,6,0,sheeg001,00,,NP
sub,wickr001,"Rowan Wick",1,0,1
play,6,0,sheeg001,10,.BX,8/L8XD+
play,6,1,rivaa001,10,BX,53/G56S+
play,6,1,suzus001,32,CSFBBBX,4/L4MD
play,6,1,happi001,32,BBBCC*B,W
play,6,1,contw001,00,,NP
sub,loper003,"Reynaldo Lopez",0,0,1
play,6,1,contw001,12,.CCF*BFF>X,8/F8XD+
play,7,0,garcl004,22,BCSFBX,3/G34
play,7,0,harrj002,12,BCSS,K
play,7,0,andet001,02,FCX,63/G6
play,7,1,schwf001,00,,NP
sub,gravk001,"Kendall Graveman",0,0,1
play,7,1,schwf001,02,.FFX,7/F7D
play,7,1,hoern001,00,X,63/G6
play,7,1,heywj001,10,BX,43/G34
play,8,0,engea001,00,,NP
sub,givem001,"Mychal Givens",1,0,1
play,8,0,engea001,22,.BFBSFX,S9/G34
play,8,0,abrej003,02,C11FS,K
play,8,0,robel002,10,BX,S7/G6+.1-2
play,8,0,grany001,00,B,WP.2-3;1-2
play,8,0,grany001,30,B.BBV,IW
play,8,0,polla001,22,BBFCFX,54(1)3/GDP/G56
play,8,1,wisdp001,00,,NP
sub,bumma001,"Aaron Bummer",0,0,1
play,8,1,wisdp001,00,.X,S9/L89D+
play,8,1,madrn001,12,BCFF>X,S7/G56.1-3
play,8,1,rivaa001,00,,NP
sub,gomey001,"Yan Gomes",1,1,11
play,8,1,gomey001,32,.BC1FBB>FFX,6/L6
play,8,1,suzus001,00,,NP
sub,fostm001,"Matt Foster",0,0,1
play,8,1,suzus001,02,.ST>X,3/P3F/FL
play,8,1,happi001,00,>C,SB2
play,8,1,happi001,22,>C.BBFC,K
play,9,0,sheeg001,00,,NP
sub,schwf001,"Frank Schwindel",1,5,3
play,9,0,sheeg001,00,.,NP
sub,robed002,"David Robertson",1,1,1
play,9,0,sheeg001,12,..CFBC,K
play,9,0,garcl004,12,BSFC,K
play,9,0,harrj002,12,FFBFX,9/F9S
play,9,1,contw001,00,,NP
sub,hendl001,"Liam Hendriks",0,0,1
play,9,1,contw001,01,.SX,4/P34
play,9,1,schwf001,00,X,63/G6
play,9,1,hoern001,22,FBFBFFC,K
data,er,fostm001,0
data,er,hendl001,0
data,er,gravk001,0
data,er,bumma001,0
data,er,loper003,0
data,er,gioll001,3
data,er,wickr001,0
data,er,givem001,0
data,er,hendk001,4
data,er,robed002,0
id,CHN202205200
version,2
info,visteam,ARI
info,hometeam,CHN
info,site,CHI11
info,date,2022/05/20
info,number,0
info,starttime,1:20PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,addir901
info,ump1b,guccc901
info,ump2b,carlm901
info,ump3b,becka901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:51
info,howscored,unknown
info,pitches,pitches
info,oscorer,seipb701
info,temp,85
info,winddir,tocf
info,windspeed,25
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,186
info,attendance,31235
info,wp,casth002
info,lp,hendk001
info,save,
start,varsd001,"Daulton Varsho",0,1,10
start,perdg001,"Geraldo Perdomo",0,2,6
start,rojaj001,"Josh Rojas",0,3,5
start,walkc002,"Christian Walker",0,4,3
start,perad001,"David Peralta",0,5,7
start,mccaj003,"Jake McCarthy",0,6,9
start,thoma004,"Alek Thomas",0,7,8
start,herny003,"Yonny Hernandez",0,8,4
