id,HOU202303300
version,2
info,visteam,CHA
info,hometeam,HOU
info,site,HOU03
info,date,2023/03/30
info,number,0
info,gametype,regular
info,starttime,6:08PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,millb901
info,ump1b,drakr901
info,ump2b,whitc901
info,ump3b,ortir901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/08/16 09:03:31
info,howscored,unknown
info,pitches,pitches
info,oscorer,wilkt701
info,temp,73
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,158
info,attendance,43032
info,wp,gravk001
info,lp,presr001
info,save,loper003
start,andet001,"Tim Anderson",0,1,6
start,robel002,"Luis Robert Jr.",0,2,8
start,vauga001,"Andrew Vaughn",0,3,3
start,jimee001,"Eloy Jimenez",0,4,10
start,moncy001,"Yoan Moncada",0,5,5
start,benia002,"Andrew Benintendi",0,6,7
start,grany001,"Yasmani Grandal",0,7,2
start,andre001,"Elvis Andrus",0,8,4
start,gonzr003,"Romy Gonzalez",0,9,9
start,ceasd001,"Dylan Cease",0,0,1
start,penaj004,"Jeremy Pena",1,1,6
start,brega001,"Alex Bregman",1,2,5
start,alvay001,"Yordan Alvarez",1,3,7
start,abrej003,"Jose Abreu",1,4,3
start,tuckk001,"Kyle Tucker",1,5,9
start,diazy004,"Yainer Diaz",1,6,10
start,meyej002,"Jake Meyers",1,7,8
start,maldm001,"Martin Maldonado",1,8,2
start,dubom001,"Mauricio Dubon",1,9,4
start,valdf001,"Framber Valdez",1,0,1
sub,loper003,"Reynaldo Lopez",0,0,1
play,9,1,brega001,02,.CFX,43/G4
play,9,1,alvay001,01,CX,HR/F9D
play,9,1,abrej003,32,SBBFFFBFF.X,53/G5
play,9,1,tuckk001,31,CBBBB,W
play,9,1,diazy004,12,F*BF>F.>FFS,K
data,er,gravk001,0
data,er,ceasd001,1
data,er,bumma001,0
data,er,loper003,1
data,er,valdf001,0
data,er,abreb002,0
data,er,nerih001,0
data,er,montr004,1
data,er,presr001,2
id,HOU202304040
version,2
info,visteam,DET
info,hometeam,HOU
info,site,HOU03
info,date,2023/04/04
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,nelsj901
info,ump1b,buckc901
info,ump2b,segac901
info,ump3b,may-b901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/05/20 17:38:49
info,howscored,unknown
info,pitches,pitches
info,oscorer,fanud701
info,temp,73
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,152
info,attendance,30613
info,wp,mannm001
info,lp,valdf001
info,save,
start,vierm001,"Matt Vierling",0,1,9
start,baezj001,"Javier Baez",0,2,6
start,greer003,"Riley Greene",0,3,8
start,torks001,"Spencer Torkelson",0,4,3
start,haase001,"Eric Haase",0,5,7
start,cabrm001,"Miguel Cabrera",0,6,10
start,schoj001,"Jonathan Schoop",0,7,5
start,rogej004,"Jake Rogers",0,8,2
start,kreir001,"Ryan Kreidler",0,9,4
start,mannm001,"Matt Manning",0,0,1
start,penaj004,"Jeremy Pena",1,1,6
start,brega001,"Alex Bregman",1,2,5
start,alvay001,"Yordan Alvarez",1,3,7
start,abrej003,"Jose Abreu",1,4,3
start,tuckk001,"Kyle Tucker",1,5,9
start,julkc001,"Corey Julks",1,6,10
start,meyej002,"Jake Meyers",1,7,8
start,dubom001,"Mauricio Dubon",1,8,4
start,maldm001,"Martin Maldonado",1,9,2
start,valdf001,"Framber Valdez",1,0,1
play,1,0,vierm001,31,BFBBX,S8/G4M
play,1,0,baezj001,00,X,54(1)/FO/G5S.B-1
play,1,0,greer003,12,BC>FFC,K
play,1,0,torks001,01,1FX,D6/L7LD.1-H;B-3
play,1,0,haase001,32,SB*SBF*BX,8/L8XD+
play,1,1,penaj004,31,BCBBX,6/L6
play,1,1,brega001,32,CBBFBB,W
play,1,1,alvay001,02,FCC,K
play,1,1,abrej003,12,FBFX,S5/G5.1-2
play,1,1,tuckk001,10,BX,S7/L78S.2-H;1-2
play,1,1,julkc001,02,SCS,K
play,2,0,cabrm001,01,CX,63/G6
play,2,0,schoj001,10,BX,43/G4
play,2,0,rogej004,10,BX,9/L9D
play,2,1,meyej002,12,SBCX,S5/G5S
play,2,1,dubom001,00,X,8/F89D
play,2,1,maldm001,10,BX,4/F8S
play,2,1,penaj004,11,CB1X,43/G6M
play,3,0,kreir001,32,CSBBBS,K
play,3,0,vierm001,32,BBBCF*B,W
play,3,0,baezj001,02,*SFB,WP.1-2
play,3,0,baezj001,12,*SFB.S,K
play,3,0,greer003,21,BBCX,S7/G56.2XH(72)
play,3,1,brega001,10,BX,7/F7
play,3,1,alvay001,11,FBX,7/F7S
play,3,1,abrej003,11,CBX,63/G6D
play,4,0,torks001,10,BX,53/G5
play,4,0,haase001,02,CSS,K
play,4,0,cabrm001,01,FX,43/G4
play,4,1,tuckk001,30,BBBX,HR/F9D
play,4,1,julkc001,21,BFBX,S8/G4M
play,4,1,meyej002,00,1,PO1(13)
play,4,1,meyej002,22,1.BSSBFFX,63/G6
play,4,1,dubom001,21,CBBX,53/G5
play,5,0,schoj001,10,BX,S8/L8D+
play,5,0,rogej004,12,*BCSB,WP.1-2
play,5,0,rogej004,32,*BCSB.BX,S8/L8.2-H
play,5,0,kreir001,31,BBSBX,9/F9LSF/FL
play,5,0,vierm001,11,C*B1,POCS2(134)
play,5,0,vierm001,11,C*B1.X,53/G56S
play,5,1,maldm001,11,BCX,7/F78
play,5,1,penaj004,12,BFFFC,K
play,5,1,brega001,21,BBCX,S7/L7D.BX2(74)
com,"$Umpire reviewed (home run), call on the field was upheld."
play,6,0,baezj001,02,SC*S,K
play,6,0,greer003,02,SCX,S4/G34
play,6,0,torks001,32,BSC*BF1BX,S8/L8.1-2
play,6,0,haase001,01,FB,PB.2-3;1-2
play,6,0,haase001,11,FB.X,63/G6.3-H(UR);2-3
play,6,0,cabrm001,22,BF*BFS,K
play,6,1,alvay001,22,CCBBX,8/L8D
play,6,1,abrej003,12,BSFFC,K
play,6,1,tuckk001,32,FFFBBBB,W
play,6,1,julkc001,00,,NP
sub,folej001,"Jason Foley",0,0,1
play,6,1,julkc001,22,.BBFCX,6/F78S
play,7,0,schoj001,32,BSBBCC,K
play,7,0,rogej004,02,CCC,K
play,7,0,kreir001,00,X,S9/L89D
play,7,0,vierm001,02,CFC,K
play,7,1,meyej002,11,FBX,S14/G4M
play,7,1,dubom001,22,FFB1FFBX,14(1)3/GDP/G1S
play,7,1,maldm001,32,SBBBCB,W
play,7,1,penaj004,01,CX,143/G1S
play,8,0,baezj001,00,,NP
sub,stanr002,"Ryne Stanek",1,0,1
play,8,0,baezj001,22,.CBFBFX,63/G6
play,8,0,greer003,31,BBFBX,S8/L8
play,8,0,torks001,11,BCX,HR/F78D.1-H
play,8,0,haase001,12,BFCFS,K
play,8,0,cabrm001,02,SFX,8/L8XD
play,8,1,brega001,00,,NP
sub,shrec001,"Chasen Shreve",0,0,1
play,8,1,brega001,02,.CFFX,63/G6
play,8,1,alvay001,10,BX,S8/L78
play,8,1,abrej003,02,CSX,6/P6
play,8,1,tuckk001,02,FCFFS,K
play,9,0,schoj001,00,,NP
sub,marts003,"Seth Martinez",1,0,1
play,9,0,schoj001,22,.FBSFBFS,K
play,9,0,rogej004,02,CCX,13/G1-
play,9,0,kreir001,12,CTFBX,S16/L1
play,9,0,vierm001,21,1CBBX,D7/L7L.1-H
play,9,0,baezj001,00,X,63/G6
play,9,1,julkc001,00,,NP
sub,wingt001,"Trey Wingenter",0,0,1
play,9,1,julkc001,10,.BX,S8/L8
play,9,1,meyej002,12,FCBS,K
play,9,1,dubom001,20,BBX,S9/L9L.1-3
play,9,1,maldm001,01,CX,54(1)/FO/G56S.3-H;B-1
play,9,1,penaj004,12,C*BFX,53/G56S
data,er,shrec001,0
data,er,folej001,0
data,er,wingt001,1
data,er,mannm001,2
data,er,valdf001,2
data,er,marts003,1
data,er,stanr002,2
id,HOU202304160
version,2
info,visteam,TEX
info,hometeam,HOU
info,site,HOU03
info,date,2023/04/16
info,number,0
info,gametype,regular
info,starttime,6:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,willr901
info,ump1b,estam901
info,ump2b,diazl901
info,ump3b,bacce901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/04 09:04:42
info,howscored,unknown
info,pitches,pitches
info,oscorer,johnf701
info,temp,73
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,179
info,attendance,39122
info,wp,burkb001
info,lp,valdf001
info,save,
start,semim001,"Marcus Semien",0,1,4
start,durae002,"Ezequiel Duran",0,2,6
start,lowen001,"Nathaniel Lowe",0,3,3
start,garca005,"Adolis Garcia",0,4,9
start,jungj001,"Josh Jung",0,5,5
start,heimj001,"Jonah Heim",0,6,2
start,grosr001,"Robbie Grossman",0,7,10
start,tavel001,"Leody Taveras",0,8,8
start,thomb003,"Bubba Thompson",0,9,7
start,heana001,"Andrew Heaney",0,0,1
start,dubom001,"Mauricio Dubon",1,1,4
start,brega001,"Alex Bregman",1,2,5
start,alvay001,"Yordan Alvarez",1,3,7
start,abrej003,"Jose Abreu",1,4,3
start,tuckk001,"Kyle Tucker",1,5,9
start,penaj004,"Jeremy Pena",1,6,6
start,hensd002,"David Hensley",1,7,10
start,meyej002,"Jake Meyers",1,8,8
start,maldm001,"Martin Maldonado",1,9,2
start,valdf001,"Framber Valdez",1,0,1
play,1,0,semim001,00,X,9/L9D
play,1,0,durae002,22,CBBCF*S,K.BX1(23)
play,1,0,lowen001,12,AFBS,K
play,1,1,dubom001,00,X,9/F9
play,1,1,brega001,22,CBBCX,53/G56
play,1,1,alvay001,31,FBBBX,S9/G34
play,1,1,abrej003,32,CBFBFB>F>F>X,63/G6
play,2,0,garca005,00,X,53/G56S
play,2,0,jungj001,32,BSBFBS,K
play,2,0,heimj001,32,BBTBS.X,D8/F78D+
play,2,0,grosr001,12,C*BF*S,K.BX1(23)
play,2,1,tuckk001,30,BBBB,W
play,2,1,penaj004,12,FFBX,54(1)/FO/G56S.B-1
play,2,1,hensd002,22,BCFBC,K
play,2,1,meyej002,22,BBCF>B,SB2
play,2,1,meyej002,32,BBCF>B.FX,9/F89
play,3,0,tavel001,02,CSX,53/G56S
play,3,0,thomb003,22,BBFSS,K
play,3,0,semim001,31,BBCBX,8/F8XD
play,3,1,maldm001,32,BBFT.BB,W
play,3,1,dubom001,00,X,54(1)/FO/G56S.B-1
play,3,1,brega001,31,BCBB>X,8/F8XD+
play,3,1,alvay001,12,CBF1C,K
play,4,0,durae002,12,FBCS,K
play,4,0,lowen001,01,CX,9/F89D
play,4,0,garca005,00,X,23/G2
play,4,1,abrej003,02,CCFX,8/F89XD+
play,4,1,tuckk001,11,BCX,8/F8XD
play,4,1,penaj004,12,SF.BFH,HP
play,4,1,hensd002,10,B>C,SB2
play,4,1,hensd002,11,B>C.>B,SB3
play,4,1,hensd002,32,B>C.>B.FBFS,K
play,5,0,jungj001,22,BBFC*S,K
play,5,0,heimj001,32,BBCBCB,W
play,5,0,grosr001,00,X,9/F9LSF/FL
play,5,0,tavel001,22,BBSCX,23/G2-
play,5,1,meyej002,30,BBBB,W
play,5,1,maldm001,02,CCS,K
play,5,1,dubom001,02,C1FX,S9/L9S.1-3;BX2(956)
com,"$Rangers challenged (tag play), call on the field was overturned."
play,5,1,brega001,20,BBX,9/F89
play,6,0,thomb003,10,BX,43/G4
play,6,0,semim001,21,CBBX,53/G56
play,6,0,durae002,00,X,43/G4
play,6,1,alvay001,00,,NP
sub,burkb001,"Brock Burke",0,0,1
play,6,1,alvay001,22,.CS.BBS,K
play,6,1,abrej003,21,BFBX,63/G56
play,6,1,tuckk001,01,CX,63/G6M
play,7,0,lowen001,32,FBBFBX,D9/L9L+
play,7,0,garca005,31,BCBBX,E6/TH/G6.B-1
play,7,0,jungj001,32,B*SF*B*BFX,S7/G56.2-3;1-2
play,7,0,heimj001,31,BBBCB,W.3-H;2-3;1-2
play,7,0,grosr001,00,X,S7/G56.3-H(UR);2-3;1-2
play,7,0,tavel001,00,,NP
sub,nerih001,"Hector Neris",1,0,1
play,7,0,tavel001,11,.*BFX,6/F56D
play,7,0,thomb003,00,,NP
sub,jankt001,"Travis Jankowski",0,9,11
play,7,0,jankt001,02,.CFS,K
play,7,0,semim001,02,SFX,HR/F7LD.3-H(UR);2-H(UR);1-H(UR);B-H(TUR)
play,7,0,durae002,01,CX,143/G4S
play,7,1,penaj004,00,,NP
sub,smitj007,"Josh H. Smith",0,2,6
play,7,1,penaj004,00,.,NP
sub,jankt001,"Travis Jankowski",0,9,7
play,7,1,penaj004,01,..FX,D9/L9LD
play,7,1,hensd002,32,BSTBBB,W
play,7,1,meyej002,32,CBSBFFBFB,W.2-3;1-2
play,7,1,maldm001,00,,NP
sub,hernj004,"Jonathan Hernandez",0,0,1
play,7,1,maldm001,12,.SS.*BC,K
play,7,1,dubom001,22,BBCCS,K
play,7,1,brega001,32,*BFFBB>*B,W.3-H;2-3;1-2
play,7,1,alvay001,00,,NP
sub,smitw002,"Will Smith",0,0,1
play,7,1,alvay001,22,.CBSFBX,5(2)/FO/G5S-.B-1
play,8,0,lowen001,00,,NP
sub,blanr001,"Ronel Blanco",1,0,1
play,8,0,lowen001,32,.CF.BBFBFX,E3/G3.B-1
play,8,0,garca005,02,F1SS,K
play,8,0,jungj001,00,X,D7/L7L.1-3
play,8,0,heimj001,00,X,9/SF/F89XD.3-H(UR);2-3
play,8,0,grosr001,00,H,HP
play,8,0,tavel001,00,X,D7/L78XD+.3-H(UR);1-H(UR)
play,8,0,jankt001,12,FFB*S,K
play,8,1,abrej003,32,CS.BFBBX,5/P56S
play,8,1,tuckk001,32,FFFBBBB,W
play,8,1,penaj004,00,,NP
sub,sborj002,"Josh Sborz",0,0,1
play,8,1,penaj004,22,.BS*BFFS,K
play,8,1,hensd002,10,BX,9/L9L
play,9,0,semim001,10,BX,S7/L7LD
play,9,0,smitj007,32,FB*BFBFX,9/F9
play,9,0,lowen001,31,BBBCX,8/L8XD+
play,9,0,garca005,12,CSBS,K
play,9,1,meyej002,00,X,3/P3F/FL
play,9,1,maldm001,00,,NP
sub,salac001,"Cesar Salazar",1,9,11
play,9,1,salac001,21,.FBBX,S8/L89D+
play,9,1,dubom001,01,FX,54(1)3/GDP/G56S
data,er,hernj004,0
data,er,sborj002,0
data,er,heana001,0
data,er,smitw002,0
data,er,burkb001,1
data,er,valdf001,1
data,er,nerih001,1
data,er,blanr001,0
id,HOU202304280
version,2
info,visteam,PHI
info,hometeam,HOU
info,site,HOU03
info,date,2023/04/28
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,barkl901
info,ump1b,littw901
info,ump2b,addir901
info,ump3b,merzd901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/17 07:18:36
info,howscored,unknown
info,pitches,pitches
info,oscorer,wilkt701
info,temp,73
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,146
info,attendance,40719
info,wp,nolaa001
info,lp,valdf001
info,save,alvaj004
start,stotb001,"Bryson Stott",0,1,4
start,turnt001,"Trea Turner",0,2,6
start,schwk001,"Kyle Schwarber",0,3,10
start,castn001,"Nick Castellanos",0,4,9
start,realj001,"J.T. Realmuto",0,5,2
start,bohma001,"Alec Bohm",0,6,3
start,harrj002,"Josh Harrison",0,7,7
start,sosae001,"Edmundo Sosa",0,8,5
start,pachc001,"Cristian Pache",0,9,8
start,nolaa001,"Aaron Nola",0,0,1
start,dubom001,"Mauricio Dubon",1,1,4
start,penaj004,"Jeremy Pena",1,2,6
start,tuckk001,"Kyle Tucker",1,3,9
start,brega001,"Alex Bregman",1,4,5
start,abrej003,"Jose Abreu",1,5,3
start,julkc001,"Corey Julks",1,6,7
start,meyej002,"Jake Meyers",1,7,8
start,bannr001,"Rylan Bannon",1,8,10
start,maldm001,"Martin Maldonado",1,9,2
start,valdf001,"Framber Valdez",1,0,1
play,1,0,stotb001,10,BX,63/G6
play,1,0,turnt001,21,CBBX,63/G6D
play,1,0,schwk001,32,BBCFBX,HR/F9LD
play,1,0,castn001,10,BX,43/G4
play,1,1,dubom001,00,X,9/F9
play,1,1,penaj004,11,CBX,HR/F89XD
play,1,1,tuckk001,01,SX,43/G34
play,1,1,brega001,22,CCBBX,9/F9D
play,2,0,realj001,21,BFBX,S7/L7+
play,2,0,bohma001,01,FX,46(1)3/GDP/G4
play,2,0,harrj002,21,FBBX,43/G4
play,2,1,abrej003,22,CBSFBFX,8/F8D
play,2,1,julkc001,22,CBBFFX,8/F8
play,2,1,meyej002,22,BCBFFS,K
play,3,0,sosae001,12,FBSFT,K
play,3,0,pachc001,01,FX,53/G6S
play,3,0,stotb001,21,CBBX,S7/L7
play,3,0,turnt001,12,CB1*S>FX,63/G6
play,3,1,bannr001,32,BFFBBC,K
play,3,1,maldm001,22,BFBCFS,K
play,3,1,dubom001,00,X,63/G56
play,4,0,schwk001,32,CFBBF.FFBFX,5/P6S
play,4,0,castn001,22,BFBFX,E5/TH/G5S.B-1
play,4,0,realj001,02,CFX,8/F89D
play,4,0,bohma001,10,*BX,63/G6
play,4,1,penaj004,12,FBS.X,63/G56
play,4,1,tuckk001,10,BX,13/G1S
play,4,1,brega001,01,CX,7/F8
play,5,0,harrj002,22,CSBBFFS,K
play,5,0,sosae001,01,FX,D7/L78XD+
play,5,0,pachc001,12,TF.*BX,D9/L89XD.2-H
play,5,0,stotb001,01,C,NP
sub,marsb002,"Brandon Marsh",0,9,12
play,5,0,stotb001,11,C.*BX,3/G3.2-3
play,5,0,turnt001,02,F*SX,13/G25
play,5,1,abrej003,00,,NP
sub,marsb002,"Brandon Marsh",0,9,8
play,5,1,abrej003,21,.BBFX,S8/L89D
play,5,1,julkc001,12,CS*BFX,S6/G6S.1-3(E6/TH)
play,5,1,meyej002,11,1C.*BX,FC/G3S.3XH(32);1-2;B-1
play,5,1,bannr001,00,X,8/F8D
play,5,1,maldm001,22,S*BFFBC,K
play,6,0,schwk001,22,BCBFS,K
play,6,0,castn001,00,X,8/L8XD+
play,6,0,realj001,32,TBBFBX,S9/L9LS
play,6,0,bohma001,00,1X,63/G6
play,6,1,dubom001,12,CFBFX,8/F8XD
play,6,1,penaj004,12,SBCC,K
play,6,1,tuckk001,32,FBFBBC,K
play,7,0,harrj002,10,BX,53/G56D
play,7,0,sosae001,21,BBSX,D7/L78D+
play,7,0,marsb002,32,BB>FBCX,S8/G4M.2-H
play,7,0,stotb001,22,1BFBFX,6(1)3/GDP/G6M
play,7,1,brega001,12,SBCX,63/G6
play,7,1,abrej003,00,X,9/F9S
play,7,1,julkc001,22,SBBCX,8/L8D
play,8,0,turnt001,00,,NP
sub,abreb002,"Bryan Abreu",1,0,1
play,8,0,turnt001,00,.X,9/F89D
play,8,0,schwk001,22,BBCS.C,K
play,8,0,castn001,22,SBBFS,K
play,8,1,meyej002,11,BSX,63/G6
play,8,1,bannr001,11,CBX,8/F8
play,8,1,maldm001,32,BBCBFX,8/L8
play,9,0,realj001,00,,NP
sub,montr004,"Rafael Montero",1,0,1
play,9,0,realj001,10,.BX,4/F34D
play,9,0,bohma001,02,CFC,K
play,9,0,harrj002,22,FBSBC,K
play,9,1,dubom001,00,,NP
sub,alvaj004,"Jose Alvarado",0,0,1
play,9,1,dubom001,02,.SFFS,K
play,9,1,penaj004,32,CBBF.FBC,K
play,9,1,tuckk001,20,BBX,43/G34
data,er,alvaj004,0
data,er,nolaa001,1
data,er,valdf001,3
data,er,abreb002,0
data,er,montr004,0
id,HOU202305030
version,2
info,visteam,SFN
info,hometeam,HOU
info,site,HOU03
info,date,2023/05/03
info,number,0
info,gametype,regular
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,drecb901
info,ump1b,sches901
info,ump2b,moorm901
info,ump3b,wegnm901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/10/03 06:10:21
info,howscored,unknown
info,pitches,pitches
info,oscorer,blour701
info,temp,73
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,134
info,attendance,40405
info,wp,webbl001
info,lp,valdf001
info,save,dovac001
start,slata001,"Austin Slater",0,1,8
start,estrt001,"Thairo Estrada",0,2,6
start,hanim001,"Mitch Haniger",0,3,7
start,davij006,"J.D. Davis",0,4,5
start,florw001,"Wilmer Flores",0,5,10
start,confm001,"Michael Conforto",0,6,9
start,villd001,"David Villar",0,7,4
start,bartj003,"Joey Bart",0,8,2
start,wadel001,"LaMonte Wade Jr.",0,9,3
start,webbl001,"Logan Webb",0,0,1
start,dubom001,"Mauricio Dubon",1,1,4
start,brega001,"Alex Bregman",1,2,5
start,alvay001,"Yordan Alvarez",1,3,7
start,abrej003,"Jose Abreu",1,4,3
start,tuckk001,"Kyle Tucker",1,5,9
start,penaj004,"Jeremy Pena",1,6,6
start,meyej002,"Jake Meyers",1,7,8
start,hensd002,"David Hensley",1,8,10
start,maldm001,"Martin Maldonado",1,9,2
start,valdf001,"Framber Valdez",1,0,1
play,1,0,slata001,11,CBX,S6/G6
play,1,0,estrt001,02,CCX,64(1)3/GDP/G6
play,1,0,hanim001,32,BFBCBS,K
play,1,1,dubom001,11,FBX,S5/G3
play,1,1,brega001,31,F*BBBX,64(1)3/GDP/G6
play,1,1,alvay001,00,X,S76/F56D
play,1,1,abrej003,02,SFX,S7/L78.1-2
play,1,1,tuckk001,12,SBFX,3/G3
play,2,0,davij006,32,ASBBBC,K
play,2,0,florw001,02,FC.X,53/G5
play,2,0,confm001,22,BCS.BS,K
play,2,1,penaj004,22,SBCB.S,K
play,2,1,meyej002,32,CBFF.BBX,E3/G3.B-2
